nxtwave_tag,content_course
Quantitative Aptitude,Quantitative Aptitude
Numerical Ability,Numerical Ability
Computer Programming,Computer Programming using Python
Introduction to Generative AI,Generative AI
Introduction to Generative AI,Intro to Generative AI
Building LLM Applications,Building LLM Applications
Mathematics for Computer Science,Mathematics for Computer Science & Engineering
Web Application Development 1,Web Application Development
Web Application Development 2,Web Application Development
Data Structures,Data Structures and Algorithms using C++
Database Management Systems,Database Management Systems
Communicative English Foundation,Communicative English Foundation
Communicative English Advanced,Communicative English Advanced
Logical Reasoning and Analytical Skills,Logical Reasoning
