institute_name,university,semester,subject,course_id,batch,section,num_sections,students,scheduled_mcq_practices,mcq_attendance,mcq_attendance_pct,total_mcq_questions,mcq_attempts,mcq_expected_attempts,mcq_attempt_pct,mcq_correct,mcq_accuracy_pct,scheduled_coding_practices,coding_attendance,coding_attendance_pct,total_coding_problems,coding_attempts,coding_expected_attempts,coding_attempt_pct,coding_completions,coding_completion_pct
A Dy Patil University,A Dy Patil University,Semester 1,Build Your Own Dynamic Web Application,c0d9b35787a741e2985faffaef636499,ADYPU Batch-1,S-001,4,83,15,32,38.55,340,2049,28220,7.26,1848,90.19,16,39,46.99,66,427,5478,7.79,252,59.02
A Dy Patil University,A Dy Patil University,Semester 1,Build Your Own Dynamic Web Application,c0d9b35787a741e2985faffaef636499,ADYPU Batch-1,S-002,4,84,16,46,54.76,420,448,35280,1.27,402,89.73,22,52,61.9,99,664,8316,7.98,412,62.05
A Dy Patil University,A Dy Patil University,Semester 1,Build Your Own Dynamic Web Application,c0d9b35787a741e2985faffaef636499,ADYPU Batch-1,S-003,4,85,13,29,34.12,300,1413,25500,5.54,1298,91.86,13,41,48.24,45,296,3825,7.74,116,39.19
A Dy Patil University,A Dy Patil University,Semester 1,Build Your Own Dynamic Web Application,c0d9b35787a741e2985faffaef636499,ADYPU Batch-1,S-004,4,83,24,49,59.04,520,476,43160,1.1,438,92.02,29,63,75.9,121,688,10043,6.85,367,53.34
A Dy Patil University,A Dy Patil University,Semester 1,Build Your Own Responsive Website,62e43c70ee744afe8d1c26ca9c22947a,ADYPU Batch-1,S-001,4,83,29,77,92.77,578,0,47974,0,0,0,27,81,97.59,56,2841,4648,61.12,2502,88.07
A Dy Patil University,A Dy Patil University,Semester 1,Build Your Own Responsive Website,62e43c70ee744afe8d1c26ca9c22947a,ADYPU Batch-1,S-002,4,84,24,80,95.24,479,0,40236,0,0,0,23,83,98.81,53,2351,4452,52.81,1967,83.67
A Dy Patil University,A Dy Patil University,Semester 1,Build Your Own Responsive Website,62e43c70ee744afe8d1c26ca9c22947a,ADYPU Batch-1,S-003,4,85,33,83,97.65,659,1,56015,0,0,0,32,83,97.65,60,2914,5100,57.14,2536,87.03
A Dy Patil University,A Dy Patil University,Semester 1,Build Your Own Responsive Website,62e43c70ee744afe8d1c26ca9c22947a,ADYPU Batch-1,S-004,4,83,25,81,97.59,499,3,41417,0.01,3,100,24,81,97.59,57,2944,4731,62.23,2755,93.58
A Dy Patil University,A Dy Patil University,Semester 1,Build Your Own Static Website,6d41f35076d543379be03fe0b26b1b26,ADYPU Batch-1,S-001,4,83,38,82,98.8,720,218,59760,0.36,191,87.61,33,82,98.8,80,4000,6640,60.24,3702,92.55
A Dy Patil University,A Dy Patil University,Semester 1,Build Your Own Static Website,6d41f35076d543379be03fe0b26b1b26,ADYPU Batch-1,S-002,4,84,36,84,100,663,247,55692,0.44,240,97.17,31,84,100,75,3759,6300,59.67,3185,84.73
A Dy Patil University,A Dy Patil University,Semester 1,Build Your Own Static Website,6d41f35076d543379be03fe0b26b1b26,ADYPU Batch-1,S-003,4,85,29,85,100,558,154,47430,0.32,139,90.26,30,84,98.82,68,3827,5780,66.21,3418,89.31
A Dy Patil University,A Dy Patil University,Semester 1,Build Your Own Static Website,6d41f35076d543379be03fe0b26b1b26,ADYPU Batch-1,S-004,4,83,35,83,100,665,102,55195,0.18,102,100,33,83,100,78,3459,6474,53.43,3094,89.45
A Dy Patil University,A Dy Patil University,Semester 1,Communicative English Foundation- I,968bccdcf5e04348af889db506d49c9a,ADYPU Batch-1,S-001,4,83,18,81,97.59,292,168,24236,0.69,147,87.5,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 1,Communicative English Foundation- I,968bccdcf5e04348af889db506d49c9a,ADYPU Batch-1,S-002,4,84,21,84,100,351,0,29484,0,0,0,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 1,Communicative English Foundation- I,968bccdcf5e04348af889db506d49c9a,ADYPU Batch-1,S-003,4,85,25,84,98.82,432,409,36720,1.11,353,86.31,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 1,Communicative English Foundation- I,968bccdcf5e04348af889db506d49c9a,ADYPU Batch-1,S-004,4,83,19,83,100,347,0,28801,0,0,0,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 1,English Course,5a1f5d5af5f441caa9bb6810e2dd592b,ADYPU Batch-1,S-001,4,83,19,82,98.8,178,54,14774,0.37,51,94.44,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 1,English Course,5a1f5d5af5f441caa9bb6810e2dd592b,ADYPU Batch-1,S-002,4,84,25,84,100,297,0,24948,0,0,0,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 1,English Course,5a1f5d5af5f441caa9bb6810e2dd592b,ADYPU Batch-1,S-003,4,85,29,85,100,318,392,27030,1.45,327,83.42,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 1,English Course,5a1f5d5af5f441caa9bb6810e2dd592b,ADYPU Batch-1,S-004,4,83,27,83,100,427,0,35441,0,0,0,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 1,Generative AI,b9811b34585b47e0a0be65f1081a74f2,ADYPU Batch-1,S-001,4,83,7,76,91.57,64,89,5312,1.68,81,91.01,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 1,Generative AI,b9811b34585b47e0a0be65f1081a74f2,ADYPU Batch-1,S-002,4,84,10,76,90.48,89,101,7476,1.35,91,90.1,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 1,Generative AI,b9811b34585b47e0a0be65f1081a74f2,ADYPU Batch-1,S-003,4,85,14,81,95.29,165,60,14025,0.43,55,91.67,1,21,24.71,2,42,170,24.71,7,16.67
A Dy Patil University,A Dy Patil University,Semester 1,Generative AI,b9811b34585b47e0a0be65f1081a74f2,ADYPU Batch-1,S-004,4,83,10,79,95.18,94,15,7802,0.19,14,93.33,1,27,32.53,2,55,166,33.13,14,25.45
A Dy Patil University,A Dy Patil University,Semester 1,Math For Computer Science,70850c6b459c4134a16c3e42d46eb794,ADYPU Batch-1,S-001,4,83,34,81,97.59,504,66,41832,0.16,62,93.94,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 1,Math For Computer Science,70850c6b459c4134a16c3e42d46eb794,ADYPU Batch-1,S-002,4,84,38,84,100,562,83,47208,0.18,72,86.75,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 1,Math For Computer Science,70850c6b459c4134a16c3e42d46eb794,ADYPU Batch-1,S-003,4,85,31,85,100,459,139,39015,0.36,116,83.45,0,0,0,0,0,0,0,0,0
