university,course,sessions_count,session_hours,practice_hours,micro_assessment_hours,start_timeline,end_timeline,weeks_required,is_submodule
MRV,Web Application Development-1,75.0,65.0,35.0,15.0,2025-08-11,2025-12-13,14.0,False
MRV,Build Your own Static Website,28.0,21.0,12.0,4.0,2025-08-11,2025-12-13,,True
MRV,Build Your own Responsive Website Website,15.0,26.0,9.0,4.0,2025-08-11,2025-12-13,,True
MRV,Modern Responsive Web Design,17.0,16.0,8.0,4.0,2025-08-11,2025-12-13,,True
MRV,Build Your Own Dynamic Web Application,15.0,16.0,9.0,4.0,2025-08-11,2025-12-13,,True
MRV,Computer Programming,69.0,54.0,30.0,14.0,2025-08-11,2025-12-13,14.0,False
MRV,Mathematics for Computing,39.0,30.0,20.0,7.0,2025-08-11,2025-12-13,14.0,False
MRV,Professional Skills for Engineers,30.0,30.0,15.0,4.0,2025-08-11,2025-12-13,14.0,False
MRV,Quantitative Skills,31.0,30.0,20.0,6.0,2025-08-11,2025-12-13,14.0,False
MRV,Introduction to Generative AI ( Workshop ),7.0,20.0,15.0,12.0,2025-08-11,2025-12-13,14.0,False
MRV,Fundamentals of Quantum Computing,16.0,16.0,8.0,0.0,2025-08-11,2025-12-13,14.0,False
MRV,Computer Aided Engineering Graphics,8.0,8.0,0.0,0.0,2025-08-11,2025-12-13,14.0,False
MRV,Indian Knowledge System,5.0,5.0,1.0,0.0,2025-08-11,2025-12-13,14.0,False
Yenepoya,Web Application Development 1,75.0,65.0,35.0,15.0,2025-08-11,2025-12-06,12.0,False
Yenepoya,Build Your own Static Website,28.0,21.0,12.0,4.0,2025-08-11,2025-12-06,12.0,True
Yenepoya,Build Your own Responsive Website Website,15.0,26.0,9.0,4.0,2025-08-11,2025-12-06,12.0,True
Yenepoya,Modern Responsive Web Design,17.0,16.0,8.0,4.0,2025-08-11,2025-12-06,12.0,True
Yenepoya,Build Your Own Dynamic Web Application,15.0,16.0,9.0,4.0,2025-08-11,2025-12-06,12.0,True
Yenepoya,Computer Programming,69.0,54.0,30.0,14.0,2025-08-11,2025-12-06,12.0,False
Yenepoya,Mathematics for Computer Science,39.0,30.0,20.0,7.0,2025-08-11,2025-12-06,12.0,False
Yenepoya,Communicative English Foundation,30.0,20.0,25.0,0.0,2025-08-11,2025-12-06,12.0,False
Yenepoya,Quantitative Aptitude,31.0,34.0,20.0,7.0,2025-08-11,2025-12-06,12.0,False
Yenepoya,Introduction to Generative AI,7.0,20.0,7.0,0.0,2025-08-11,2025-12-06,12.0,False
Yenepoya,Basic electronics for cse,,10.0,0.0,0.0,2025-08-11,2025-12-06,12.0,False
SGU,Web Application Development 1,75.0,79.0,47.0,15.0,2025-08-18,2025-11-10,10.0,False
SGU,Programming for problem solving,69.0,65.0,36.0,15.0,2025-08-18,2025-11-10,10.0,False
SGU,Mathematics for Computer Science,39.0,39.0,20.0,2.0,2025-08-18,2025-11-10,10.0,False
SGU,Communicative English Foundation,30.0,20.0,15.0,7.0,2025-08-18,2025-11-10,10.0,False
SGU,Quantitative Aptitude,31.0,34.0,20.0,7.0,2025-08-18,2025-11-10,10.0,False
SGU,Introduction to Generative AI,7.0,20.0,10.0,0.0,2025-08-18,2025-11-10,10.0,False
CDU,Web Application Development 1,75.0,79.0,38.0,16.0,2025-08-25,2025-12-08,15.0,False
CDU,Build Your own Static Website,28.0,21.0,12.0,4.0,2025-08-25,2025-12-08,,True
CDU,Build Your own Responsive Website Website,15.0,26.0,9.0,4.0,2025-08-25,2025-12-08,,True
CDU,Modern Responsive Web Design,17.0,16.0,8.0,4.0,2025-08-25,2025-12-08,,True
CDU,Build Your Own Dynamic Web Application,15.0,16.0,9.0,4.0,2025-08-25,2025-12-08,,True
CDU,Programming for problem solving,69.0,65.0,36.0,15.0,2025-08-25,2025-12-08,15.0,False
CDU,Mathematics for Computer Science,39.0,39.0,20.0,7.0,2025-08-25,2025-12-08,15.0,False
CDU,Communicative English Foundation,30.0,20.0,25.0,0.0,2025-08-25,2025-12-08,15.0,False
CDU,Quantitative Aptitude,31.0,34.0,20.0,7.0,2025-08-25,2025-12-08,15.0,False
CDU,Introduction to Generative AI,7.0,25.0,15.0,0.0,2025-08-25,2025-12-08,15.0,False
CDU,Applied Physics,,,,0.0,2025-08-25,2025-12-08,15.0,False
ADYPU,Web Application Development 1,75.0,79.0,38.0,16.0,2025-08-18,2025-12-03,12.0,False
ADYPU,Computer Programming,69.0,65.0,36.0,15.0,2025-08-18,2025-12-03,12.0,False
ADYPU,Mathematics for Computer Science,39.0,39.0,20.0,7.0,2025-08-18,2025-12-03,12.0,False
ADYPU,Communicative English Foundation,30.0,20.0,25.0,0.0,2025-08-18,2025-12-03,12.0,False
ADYPU,Quantitative Aptitude,31.0,34.0,20.0,7.0,2025-08-18,2025-12-03,12.0,False
ADYPU,Introduction to Generative AI,7.0,25.0,15.0,0.0,2025-08-18,2025-12-03,12.0,False
ADYPU,Applied Physics for Data Science,20.0,20.0,5.0,0.0,2025-08-18,2025-12-03,12.0,False
ANNA,Web Application Development 1,75.0,65.0,35.0,15.0,2025-08-18,2025-12-18,14.0,False
ANNA,Build Your own Static Website,28.0,,,,,,,True
ANNA,Build Your own Responsive Website Website,15.0,,,,,,,True
ANNA,Modern Responsive Web Design,17.0,,,,,,,True
ANNA,Build Your Own Dynamic Web Application,15.0,,,,,,,True
ANNA,Programming for problem solving,69.0,54.0,30.0,14.0,2025-08-18,2025-12-18,14.0,False
ANNA,Mathematics for Computer Science,39.0,30.0,20.0,7.0,2025-08-18,2025-12-18,14.0,False
ANNA,Communicative English Foundation,30.0,30.0,15.0,4.0,2028-08-19,2025-12-18,14.0,False
ANNA,Quantitative Aptitude,31.0,30.0,20.0,6.0,2025-08-18,2025-12-18,14.0,False
ANNA,Introduction to Generative AI,7.0,20.0,15.0,12.0,2028-08-19,2025-12-18,14.0,False
SVYASA,Web Technologies,75.0,65.0,35.0,15.0,2025-08-11,2026-01-20,13.0,False
SVYASA,Build Your own Static Website,28.0,21.0,12.0,4.0,2025-08-11,2026-01-20,13.0,True
SVYASA,Build Your own Responsive Website Website,15.0,26.0,9.0,4.0,2025-08-11,2026-01-20,13.0,True
SVYASA,Modern Responsive Web Design,17.0,16.0,8.0,4.0,2025-08-11,2026-01-20,13.0,True
SVYASA,Build Your Own Dynamic Web Application,15.0,16.0,9.0,4.0,2025-08-11,2026-01-20,13.0,True
SVYASA,Problem Solving Using Programming I,69.0,54.0,30.0,14.0,2025-08-11,2026-01-20,13.0,False
SVYASA,Engineering Mathematics 1,39.0,30.0,20.0,7.0,2025-08-11,2026-01-20,13.0,False
SVYASA,Basic Tehnical English,30.0,20.0,25.0,0.0,2025-08-11,2026-01-20,13.0,False
SVYASA,Quantitative Aptitude,31.0,34.0,20.0,7.0,2025-08-11,2026-01-20,13.0,False
SVYASA,Introduction to Generative AI,7.0,20.0,7.0,0.0,2025-08-11,2026-01-20,13.0,False
NRI,Web Application Development 1,75.0,65.0,35.0,15.0,2025-08-22,2025-12-11,14.0,False
NRI,Build Your own Static Website,28.0,,,,,,,True
NRI,Build Your own Responsive Website Website,15.0,,,,,,,True
NRI,Modern Responsive Web Design,17.0,,,,,,,True
NRI,Build Your Own Dynamic Web Application,15.0,,,,,,,True
NRI,Programming for problem solving,69.0,54.0,30.0,14.0,2025-08-22,2025-12-11,14.0,False
NRI,Mathematics for Computer Science,39.0,30.0,20.0,7.0,2025-08-22,2025-12-11,14.0,False
NRI,Communicative English Foundation,30.0,30.0,15.0,4.0,2025-08-22,2025-12-11,14.0,False
NRI,Quantitative Aptitude,31.0,30.0,20.0,6.0,2025-08-22,2025-12-11,14.0,False
NRI,Introduction to Generative AI,7.0,20.0,15.0,12.0,2025-08-22,2025-12-11,14.0,False
NSRIT,Web Application Development 1,73.0,65.0,35.0,15.0,2025-08-22,2025-12-27,11.0,False
NSRIT,Build Your own Static Website,26.0,,,,,,,True
NSRIT,Build Your own Responsive Website Website,15.0,,,,,,,True
NSRIT,Modern Responsive Web Design,17.0,,,,,,,True
NSRIT,Build Your Own Dynamic Web Application,15.0,,,,,,,True
