layer,raw_title,course_key,match_status,catalogue_course_title,stack
catalogue,Data Analytics Foundation,data analytics foundation,self,Data Analytics Foundation,DS/ML
catalogue,Data Analytics with PowerBI,data analytics with powerbi,self,Data Analytics with PowerBI,DS/ML
catalogue,Advanced Aptitude,advanced aptitude,self,Advanced Aptitude,Aptitude
catalogue,Django Backend Development,django backend development,self,Django Backend Development,FullStack
catalogue,Data Analytics with Tableau,data analytics with tableau,self,Data Analytics with Tableau,DS/ML
catalogue,Introduction to Deep Learning,introduction to deep learning,self,Introduction to Deep Learning,DS/ML
catalogue,AI Vision Systems: Detection & Segmentation,ai vision systems detection segmentation,self,AI Vision Systems: Detection & Segmentation,DS/ML
catalogue,Productionisation of ML systems,productionisation of ml systems,self,Productionisation of ML systems,DS/ML
catalogue,Problem Solving Techniques,problem solving techniques,self,Problem Solving Techniques,Programming & Algorithms
catalogue,Advanced GenAI,advanced genai,self,Advanced GenAI,DS/ML
catalogue,High-Level System Design,high level system design,self,High-Level System Design,System Design
catalogue,Course 3  (Yet to Confirm Names),course 3 yet to confirm names,self,Course 3  (Yet to Confirm Names),Physical AI
catalogue,AI FullStack Projects,ai fullstack projects,self,AI FullStack Projects,FullStack
catalogue,Intorduction to Natural Language Processing,intorduction to natural language processing,self,Intorduction to Natural Language Processing,DS/ML
catalogue,Operating Systems,operating systems,self,Operating Systems,CS Core
catalogue,Practical Software Engineering,practical software engineering,self,Practical Software Engineering,GenAI
catalogue,AI For Finance,ai for finance,self,AI For Finance,GenAI
catalogue,Base 44 Mastery,base 44 mastery,self,Base 44 Mastery,GenAI
catalogue,Advanced Frontend Development Using React,advanced frontend development using react,self,Advanced Frontend Development Using React,FullStack
catalogue,Unsupervised Learning,unsupervised learning,self,Unsupervised Learning,DS/ML
catalogue,Low Level System Design,low level system design,self,Low Level System Design,System Design
catalogue,Testing With Selenium,testing with selenium,self,Testing With Selenium,DevOps & Testing
catalogue,Introduction to Software Development,introduction to software development,self,Introduction to Software Development,Induction
catalogue,Probability and Statistics,probability and statistics,self,Probability and Statistics,DS/ML
catalogue,PyTorch for Deep Learning,pytorch for deep learning,self,PyTorch for Deep Learning,DS/ML
catalogue,Quantitative Aptitude,quantitative aptitude,self,Quantitative Aptitude,Aptitude
catalogue,Computer Programming using Python,computer programming using python,self,Computer Programming using Python,Programming & Algorithms
catalogue,Computer Networks,computer networks,self,Computer Networks,CS Core
catalogue,Introduction to GenAI,introduction to genai,self,Introduction to GenAI,GenAI
catalogue,AI For Sales,ai for sales,self,AI For Sales,GenAI
catalogue,Applied Communicative English,applied communicative english,self,Applied Communicative English,English
catalogue,Cloud Computing Foundations,cloud computing foundations,self,Cloud Computing Foundations,DevOps & Testing
catalogue,Data Science Foundations,data science foundations,self,Data Science Foundations,DS/ML
catalogue,Supervised Learning: Regression,supervised learning regression,self,Supervised Learning: Regression,DS/ML
catalogue,SpringBoot Backend Development,springboot backend development,self,SpringBoot Backend Development,FullStack
catalogue,AI For HR,ai for hr,self,AI For HR,GenAI
catalogue,Database Management Systems,database management systems,self,Database Management Systems,CS Core
catalogue,OpenAI Workshop,openai workshop,self,OpenAI Workshop,GenAI
catalogue,Language Analytics,language analytics,self,Language Analytics,English
catalogue,Computer Programming using JS,computer programming using js,self,Computer Programming using JS,Programming & Algorithms
catalogue,MERN Projects,mern projects,self,MERN Projects,FullStack
catalogue,Linear Algebra and Calculus,linear algebra and calculus,self,Linear Algebra and Calculus,DS/ML
catalogue,Course 4  (Yet to Confirm Names),course 4 yet to confirm names,self,Course 4  (Yet to Confirm Names),Physical AI
catalogue,Advanced NLP : Sequence and Attention Models,advanced nlp sequence and attention models,self,Advanced NLP : Sequence and Attention Models,DS/ML
catalogue,Numerical Ability,numerical ability,self,Numerical Ability,Aptitude
catalogue,React Projects,react projects,self,React Projects,FullStack
catalogue,Communicative English Foundation,communicative english foundation,self,Communicative English Foundation,English
catalogue,Course 2  (Yet to Confirm Names),course 2 yet to confirm names,self,Course 2  (Yet to Confirm Names),Physical AI
catalogue,Data Structures and Algorithms using C++,data structures and algorithms using c,self,Data Structures and Algorithms using C++,Programming & Algorithms
catalogue,Web Application Development,web application development,self,Web Application Development,FullStack
catalogue,Frontend Development,frontend development,self,Frontend Development,FullStack
catalogue,Introduction to ML and Classification Algorithms,introduction to ml and classification algorithms,self,Introduction to ML and Classification Algorithms,DS/ML
catalogue,Ensemble Learning,ensemble learning,self,Ensemble Learning,DS/ML
catalogue,Foundations of Computer Vision with CNNs,foundations of computer vision with cnns,self,Foundations of Computer Vision with CNNs,DS/ML
catalogue,Logical Reasoning,logical reasoning,self,Logical Reasoning,Aptitude
catalogue,Communicative English Advanced,communicative english advanced,self,Communicative English Advanced,English
catalogue,Computer Programming using Java,computer programming using java,self,Computer Programming using Java,Programming & Algorithms
catalogue,Advanced Data Structures and Algorithms,advanced data structures and algorithms,self,Advanced Data Structures and Algorithms,Programming & Algorithms
catalogue,"Backend Development Using Node, MongoDB",backend development using node mongodb,self,"Backend Development Using Node, MongoDB",FullStack
catalogue,Math for CSE,math for cse,self,Math for CSE,DS/ML
catalogue,Generative AI for Vision: Transformers & Diffusion Models,generative ai for vision transformers diffusion models,self,Generative AI for Vision: Transformers & Diffusion Models,DS/ML
catalogue,Building LLM Applications,building llm applications,self,Building LLM Applications,GenAI
catalogue,Course 1 (Yet to Confirm Names),course 1 yet to confirm names,self,Course 1 (Yet to Confirm Names),Physical AI
delivered,Data Structures,data structures,partial,Data Structures and Algorithms using C++,Programming & Algorithms
delivered,Build Your Own Responsive Website,build your own responsive website,unmapped,,
delivered,Node JS,node js,unmapped,,
delivered,Logical Reasoning and Analytical Skills,logical reasoning and analytical skills,partial,Logical Reasoning,Aptitude
delivered,Back End Development,back end development,unmapped,,
delivered,react,react,unmapped,,
delivered,APTITUDE,aptitude,partial,Advanced Aptitude,Aptitude
delivered,Skill Assessment,skill assessment,unmapped,,
delivered,Web Development Assessment,web development assessment,unmapped,,
