semester,institute_id,university_short,institute_name,university_course,nxtwave_tag,course_id,credits
Semester 1,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Web Application Development-1,Web Application Development 1,6d41f350-76d5-4337-9be0-3fe0b26b1b26,5.0
Semester 1,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Computer Programming,Computer Programming,c6008f8d-cd91-4843-bb3f-b75d4beca046,5.0
Semester 1,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Mathematics for Computing,Mathematics for Computer Science,70850c6b-459c-4134-a16c-3e42d46eb794,3.0
Semester 1,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Professional Skills for Engineers,Communicative English Foundation,f903dc8e-fe3f-4977-86ad-d72d7690d38d,2.0
Semester 1,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Quantitative Skills,Quantitative Aptitude,97671af2-f44f-4eed-978c-d65d5c0c55c9,3.0
Semester 1,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Fundamentals of Quantum Computing,Compliance,746ffae9-adee-45d3-8716-bc0cf07bc264,2.0
Semester 1,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Indian Knowledge System,Compliance,27ea918a-df83-4500-98d8-fe137323ef63,1.0
Semester 1,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Foriegn Language - 1,Compliance,fc6a31de-0cea-4528-9eed-113d04d1597f,0.0
Semester 1,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Computer Aided Engineering Graphics,Compliance,a2e3e612-2f54-4b74-8a7c-1e3c6251fc1c,2.0
Semester 1,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Introduction to Generative AI,Introduction to Generative AI,b9811b34-585b-47e0-a0be-65f1081a74f2,0.0
Semester 1,4134c4fe-97a2-4846-b95f-bd9b51d854d7,Yenepoya,Yenapoya University,Web Application Development-1,Web Application Development 1,6d41f350-76d5-4337-9be0-3fe0b26b1b26,5.0
Semester 1,4134c4fe-97a2-4846-b95f-bd9b51d854d7,Yenepoya,Yenapoya University,Problem Solving with Python,Computer Programming,c6008f8d-cd91-4843-bb3f-b75d4beca046,6.0
Semester 1,4134c4fe-97a2-4846-b95f-bd9b51d854d7,Yenepoya,Yenapoya University,Mathematics for Computer Science,Mathematics for Computer Science,70850c6b-459c-4134-a16c-3e42d46eb794,3.0
Semester 1,4134c4fe-97a2-4846-b95f-bd9b51d854d7,Yenepoya,Yenapoya University,Communicative English Foundation,Communicative English Foundation,f903dc8e-fe3f-4977-86ad-d72d7690d38d,2.0
Semester 1,4134c4fe-97a2-4846-b95f-bd9b51d854d7,Yenepoya,Yenapoya University,Quantitative Aptitude,Quantitative Aptitude,97671af2-f44f-4eed-978c-d65d5c0c55c9,0.0
Semester 1,4134c4fe-97a2-4846-b95f-bd9b51d854d7,Yenepoya,Yenapoya University,Introduction to Generative AI,Introduction to Generative AI,b9811b34-585b-47e0-a0be-65f1081a74f2,2.0
Semester 1,4134c4fe-97a2-4846-b95f-bd9b51d854d7,Yenepoya,Yenapoya University,Basic electronics for cse,Compliance,1fdd2d40-41a5-40cc-a065-f5f927141342,2.0
Semester 1,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,Web Application Development I,Web Application Development 1,6d41f350-76d5-4337-9be0-3fe0b26b1b26,5.0
Semester 1,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,Computer Programming,Computer Programming,c6008f8d-cd91-4843-bb3f-b75d4beca046,6.0
Semester 1,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,Mathematics for Computer Science,Mathematics for Computer Science,70850c6b-459c-4134-a16c-3e42d46eb794,3.0
Semester 1,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,Communicative English Foundation,Communicative English Foundation,f903dc8e-fe3f-4977-86ad-d72d7690d38d,2.0
Semester 1,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,Quantitative Aptitude,Quantitative Aptitude,97671af2-f44f-4eed-978c-d65d5c0c55c9,3.0
Semester 1,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,Introduction to Generative AI,Introduction to Generative AI,b9811b34-585b-47e0-a0be-65f1081a74f2,2.0
