semester,institute_id,university_short,institute_name,university_course,nxtwave_tag,course_id,credits
Semester 2,3953321b-7214-4c08-a29c-abbf1984bbf0,ADYPU,A Dy Patil University,Advanced English,Communicative English Advanced,,
Semester 2,3953321b-7214-4c08-a29c-abbf1984bbf0,ADYPU,A Dy Patil University,DataBase Management System,Database Management Systems,,
Semester 1,3953321b-7214-4c08-a29c-abbf1984bbf0,ADYPU,A Dy Patil University,Introduction to Generative AI,Introduction to Generative AI,,
Semester 1,3953321b-7214-4c08-a29c-abbf1984bbf0,ADYPU,A Dy Patil University,Mathematics for Computer Science,Mathematics for Computer Science,,
Semester 1,3953321b-7214-4c08-a29c-abbf1984bbf0,ADYPU,A Dy Patil University,Quantitaive Aptitude,Quantitative Aptitude,,
Semester 3,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,AI For Finanace,AI for Finance,,
Semester 3,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,Advanced Communication Skills,Advanced Communication Skills,,
Semester 3,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,Back End Development,Back End Development,,
Semester 1,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,Computer Programming Laboratory,Computer Programming,,
Semester 1,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,Programming for problem solving,Computer Programming,,
Semester 2,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,Data Structure,Data Structures,,
Semester 2,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,DataBase Management System,Database Management Systems,,
Semester 3,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,Design and Analysis of Algorithms,Design and Analysis of Algorithms,,
Semester 3,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,Logical Reasoning and Analytical Skills,Logical Reasoning and Analytical Skills,,
Semester 3,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,Probability and Statistics,Probability and Statistics,,
Semester 3,4497920d-7f75-4a6c-a913-c8c1c234d5d3,AURORA,Aurora University,English Language Proficiency B1,Communicative English Advanced,,
Semester 1,4497920d-7f75-4a6c-a913-c8c1c234d5d3,AURORA,Aurora University,Python Programming,Computer Programming,,
Semester 3,907f0db2-3263-4612-a98d-5ad7d10f04f8,CDU,Chaitanya Deemed-to-be University,AI For Finance,AI for Finance,,
Semester 3,907f0db2-3263-4612-a98d-5ad7d10f04f8,CDU,Chaitanya Deemed-to-be University,Advanced Communication Skills,Advanced Communication Skills,,
Semester 3,907f0db2-3263-4612-a98d-5ad7d10f04f8,CDU,Chaitanya Deemed-to-be University,Back End Development,Back End Development,,
Semester 2,907f0db2-3263-4612-a98d-5ad7d10f04f8,CDU,Chaitanya Deemed-to-be University,Advanced English,Communicative English Advanced,,
Semester 1,907f0db2-3263-4612-a98d-5ad7d10f04f8,CDU,Chaitanya Deemed-to-be University,Programming for problem solving,Computer Programming,,
Semester 2,907f0db2-3263-4612-a98d-5ad7d10f04f8,CDU,Chaitanya Deemed-to-be University,DataBase Management System,Database Management Systems,,
Semester 3,907f0db2-3263-4612-a98d-5ad7d10f04f8,CDU,Chaitanya Deemed-to-be University,Design and Analysis of Algorithms,Design and Analysis of Algorithms,,
Semester 3,907f0db2-3263-4612-a98d-5ad7d10f04f8,CDU,Chaitanya Deemed-to-be University,Logical Reasoning and Analytical Skills,Logical Reasoning and Analytical Skills,,
Semester 3,907f0db2-3263-4612-a98d-5ad7d10f04f8,CDU,Chaitanya Deemed-to-be University,Probability and Statistics,Probability and Statistics,,
Semester 2,8960968b-4069-48f4-a769-b842ccb71247,Chalapathy,Chalapathy (CITY),Building LLM Applications 2,Building LLM Applications,,
Semester 1,8960968b-4069-48f4-a769-b842ccb71247,Chalapathy,Chalapathy (CITY),Programming for problem solving,Computer Programming,,
Semester 2,8960968b-4069-48f4-a769-b842ccb71247,Chalapathy,Chalapathy (CITY),DataBase Management System,Database Management Systems,,
Semester 2,09105c4a-966d-4f8f-bda5-337d233029ef,CRESCENT,Crescent University,Advanced English,Communicative English Advanced,,
Semester 1,09105c4a-966d-4f8f-bda5-337d233029ef,CRESCENT,Crescent University,Programming for problem solving,Computer Programming,,
Semester 2,09105c4a-966d-4f8f-bda5-337d233029ef,CRESCENT,Crescent University,Data Structures,Data Structures,,
Semester 2,09105c4a-966d-4f8f-bda5-337d233029ef,CRESCENT,Crescent University,DataBase Management System,Database Management Systems,,
Semester 1,09105c4a-966d-4f8f-bda5-337d233029ef,CRESCENT,Crescent University,Introduction to Generative AI,Introduction to Generative AI,,
Semester 1,09105c4a-966d-4f8f-bda5-337d233029ef,CRESCENT,Crescent University,Mathematics for Computer Science,Mathematics for Computer Science,,
Semester 1,09105c4a-966d-4f8f-bda5-337d233029ef,CRESCENT,Crescent University,Mathematics for Computer Science_1,Mathematics for Computer Science,,
Semester 1,09105c4a-966d-4f8f-bda5-337d233029ef,CRESCENT,Crescent University,Quantitative Aptitude,Quantitative Aptitude,,
Semester 2,09105c4a-966d-4f8f-bda5-337d233029ef,CRESCENT,Crescent University,Quantitative Aptitude,Quantitative Aptitude,,
Semester 1,09105c4a-966d-4f8f-bda5-337d233029ef,CRESCENT,Crescent University,Web Application Development 1,Web Application Development 1,,
Semester 2,09105c4a-966d-4f8f-bda5-337d233029ef,CRESCENT,Crescent University,Web  Application Development -2,Web Application Development 2,,
Semester 3,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,AI For Finanace,AI for Finance,,
Semester 3,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Advanced Communication Skills,Advanced Communication Skills,,
Semester 3,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Back End Development,Back End Development,,
Semester 2,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Communicative English Advanced,Communicative English Advanced,,
Semester 2,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,DataBase Management System,Database Management Systems,,
