institute_name,university_course,semester,sessions,nxtwave_tag (fill in)
A Dy Patil University,Web Application Development,S1,672,
A Dy Patil University,Web  Application Development -2,S2,476,
A Dy Patil University,DataBase Management System,S2,320,
A Dy Patil University,Quantitaive Aptitude,S1,288,
A Dy Patil University,Mathematics for Data Science,S1,252,
A Dy Patil University,Advanced English,S2,168,
A Dy Patil University,Applied Physics for Data Science [Lab],S1,20,
Annamacharya University,Design and Analysis of Algorithms,S3,244,
Annamacharya University,Web  Application Development -2,S2,168,
Annamacharya University,Data Structure,S2,164,
Annamacharya University,DataBase Management System,S2,160,
Annamacharya University,Probability and Statistics,S3,132,
Annamacharya University,Back End Development,S3,108,
Annamacharya University,AI For Finanace,S3,100,
Annamacharya University,Advanced Communication Skills,S3,94,
Annamacharya University,Logical Reasoning and Analytical Skills,S3,78,
Annamacharya University,Environmental Studies,S2,38,
Annamacharya University,Computer Programming Laboratory,S1,2,
Aurora University,Python Programming,S1,2340,
Aurora University,Frontend Development Essentials-1,S2,1950,
Aurora University,Advanced Frontend Development,S3,1768,
Aurora University,English Language Proficiency B1,S3,806,
Aurora University,Intermediate Language Skills Preparation,S1+S2+S3,286,
Aurora University,Design & Drafting,S2,234,
Chaitanya Deemed-to-be University,Design and Analysis of Algorithms,S3,2478,
Chaitanya Deemed-to-be University,Web  Application Development -2,S2,1720,
Chaitanya Deemed-to-be University,DataBase Management System,S2,1680,
Chaitanya Deemed-to-be University,Advanced English,S2,1407,
Chaitanya Deemed-to-be University,Back End Development,S3,1092,
Chaitanya Deemed-to-be University,AI For Finance,S3,987,
Chaitanya Deemed-to-be University,Probability and Statistics,S3,966,
Chaitanya Deemed-to-be University,Logical Reasoning and Analytical Skills,S3,819,
Chaitanya Deemed-to-be University,Advanced Communication Skills,S3,315,
Chalapathy (CITY),Web  Application Development -2,S2,222,
Chalapathy (CITY),DataBase Management System,S2,207,
Chalapathy (CITY),Building LLM Applications 2,S2,120,
Crescent University,Data Structures,S2,261,
Crescent University,Web  Application Development -2,S2,243,
Crescent University,DataBase Management System,S2,240,
Crescent University,Mathematics for Computer Science_1,S1,183,
Crescent University,Introduction to Artificial Intelligence,S2,168,
Crescent University,Advanced English,S2,108,
Crescent University,Quantitative Aptitude,S2,18,
Intensive Offline DC,Introduction to JavaScript,S1,2539,
Intensive Offline DC,HTML & CSS,S1,2113,
Intensive Offline DC,Introduction to ReactJS,S1,983,
Intensive Offline DC,Introduction to Database,S1,808,
Intensive Offline DC,Production Ready Practices,S1,630,
Intensive Offline DC,Programming with Python,S1,471,
Intensive Offline DC,Interview Prep Course,S1,195,
Intensive Offline DC,Introduction to Tech,S1,175,
Intensive Offline DC,ReactJS Vite Mini Projects,S1,160,
Intensive Offline DC,DBMS Fundamentals,S1,156,
Intensive Offline DC,Core Java,S1,100,
Intensive Offline DC,Introduction to GIT,S1,74,
Intensive Offline DC,Django & DRF for Backend Development,S1,24,
Intensive Offline DC,Introduction to Tech.,S1,10,
Intensive Training Center DC,HTML & CSS,S1,48,
Intensive Training Center DC,Introduction to JavaScript,S1,48,
Intensive Training Center DC,Introduction to Tech,S1,10,
Malla Reddy Vishwavidyapeeth,Design and Analysis of Algorithms,S3,625,
Malla Reddy Vishwavidyapeeth,Web  Application Development -2,S2,405,
Malla Reddy Vishwavidyapeeth,DataBase Management System,S2,400,
Malla Reddy Vishwavidyapeeth,Probability and Statistics,S3,275,
Malla Reddy Vishwavidyapeeth,Back End Development,S3,260,
Malla Reddy Vishwavidyapeeth,Numerical Ability,S2,255,
Malla Reddy Vishwavidyapeeth,Advanced Communication Skills,S3,240,
Malla Reddy Vishwavidyapeeth,AI For Finanace,S3,235,
Malla Reddy Vishwavidyapeeth,Logical Reasoning and Analytical Skills,S3,215,
Malla Reddy Vishwavidyapeeth,Communicative English Advanced,S2,170,
Malla Reddy Vishwavidyapeeth,Digital Electronics,S3,25,
NIAT Chevella,Frontend Development 1,S1,630,
NIAT Chevella,Linear algebra and Optimization,S1,475,
NIAT Chevella,Computer Programming,S1,455,
NIAT Chevella,Web  Application Development -2,S1,420,
NIAT Chevella,DataBase Management System,S1,400,
NRI,Design and Analysis of Algorithms,S3,360,
NRI,DataBase Management System,S2,240,
NRI,Web  Application Development -2,S2,225,
NRI,Numerical Ability,S2,201,
NRI,Back End Development,S3,162,
NRI,AI For Finanace,S3,150,
NRI,Probability and Statistics,S3,120,
NRI,Logical Reasoning and Analytical Skills,S3,117,
NRI,Environmental Studies,S2,57,
NRI,Advanced Communication Skills,S3,45,
NRI,Quantum Physics,S3,3,
NSRIT University,Web  Application Development -2,S2,74,
NSRIT University,DataBase Management System,S2,69,
Nxtwave Institute of Advanced Technologies,ITP,S3+S4,4053,
Nxtwave Institute of Advanced Technologies,LLM,S4,2100,
Nxtwave Institute of Advanced Technologies,DSA,S3+S4,1533,
Nxtwave Institute of Advanced Technologies,DAA,S3,1239,
Nxtwave Institute of Advanced Technologies,ADVANCE APTITUDE,S4,1239,
Nxtwave Institute of Advanced Technologies,Applied Communicative English,S4,1118,
Nxtwave Institute of Advanced Technologies,ADVANCE DSA,S4,945,
Nxtwave Institute of Advanced Technologies,llm,S3,840,
Nxtwave Institute of Advanced Technologies,Redux & NextJS,S4,831,
Nxtwave Institute of Advanced Technologies,CALCULUS,S4,735,
Nxtwave Institute of Advanced Technologies,REACT,S4,672,
Nxtwave Institute of Advanced Technologies,GEN AI,S4,504,
Nxtwave Institute of Advanced Technologies,ENGLISH,S4,483,
Nxtwave Institute of Advanced Technologies,Algorithm Design,S3,462,
Nxtwave Institute of Advanced Technologies,GEN-AI,S3,399,
Nxtwave Institute of Advanced Technologies,VIDEO Games,S4,378,
Nxtwave Institute of Advanced Technologies,SDP_,S4,315,
Nxtwave Institute of Advanced Technologies,video games,S3,273,
Nxtwave Institute of Advanced Technologies,Practical Software Engineering,S4,210,
Nxtwave Institute of Advanced Technologies,SDP,S3,147,
Nxtwave Institute of Advanced Technologies,CSP,S3,147,
Nxtwave Institute of Advanced Technologies,Typescript,S4,147,
Nxtwave Institute of Advanced Technologies,Node JS,S3,147,
Nxtwave Institute of Advanced Technologies,APTITUDE,S3,63,
Nxtwave Institute of Advanced Technologies,react,S3,21,
